state,year,birth_rate_per_1000_population,marriage_rate_per_1000_population
Johor,2017,16.5,14.85907493
Johor,2018,16.3,14.39136929
Johor,2019,16,14.20982665
Johor,2020,14.2,11.41781181
Johor,2021,12.4,12.26865672
Johor,2022,12,13.08368294
Kedah,2017,17.1,12.21558841
Kedah,2018,16.5,14.04530744
Kedah,2019,15.9,14.17122878
Kedah,2020,15.9,14.76494323
Kedah,2021,15.4,16.14909142
Kedah,2022,14.2,15.88091165
Kelantan,2017,21.4,17.64570804
Kelantan,2018,20.6,16.91373287
Kelantan,2019,19.6,16.61269774
Kelantan,2020,20.2,16.80223152
Kelantan,2021,19.2,23.31788335
Kelantan,2022,18.5,21.22528133
Melaka,2017,15.8,14.79684591
Melaka,2018,15.6,14.97289679
Melaka,2019,15.2,14.74903059
Melaka,2020,13.9,12.70032051
Melaka,2021,13.1,14.63414634
Melaka,2022,13,13.71405909
Negeri Sembilan,2017,16.2,15.9551167
Negeri Sembilan,2018,16.2,15.50984059
Negeri Sembilan,2019,15.5,15.26815841
Negeri Sembilan,2020,14.3,13.53333333
Negeri Sembilan,2021,13.9,15.49161269
Negeri Sembilan,2022,13.2,14.70154814
Pahang,2017,16.7,15.29204614
Pahang,2018,16.2,14.85492882
Pahang,2019,15.5,14.17015675
Pahang,2020,15.9,13.35637529
Pahang,2021,15.3,13.55416797
Pahang,2022,14.6,13.18528155
Perak,2017,14,14.57444248
Perak,2018,13.5,14.47373677
Perak,2019,13.2,14.51052296
Perak,2020,12.7,13.48918269
Perak,2021,12.2,14.53692662
Perak,2022,11.7,13.70744512
Perlis,2017,17.6,15.79365079
Perlis,2018,17.2,15.60552268
Perlis,2019,16,15.59448819
Perlis,2020,14.4,14.58406458
Perlis,2021,14.2,15.94228095
Perlis,2022,12.9,15.05521049
Pulau Pinang,2017,12.3,10.65993922
Pulau Pinang,2018,11.7,10.8645337
Pulau Pinang,2019,11.4,10.76888286
Pulau Pinang,2020,11.3,10.09538037
Pulau Pinang,2021,10.7,10.81321839
Pulau Pinang,2022,10.2,11.52794532
Sabah,2017,13.6,7.342773412
Sabah,2018,13.6,8.16770983
Sabah,2019,13.6,8.18614896
Sabah,2020,14.5,7.11009711
Sabah,2021,12.2,9.590048643
Sabah,2022,12.8,9.691059767
Sarawak,2017,13.6,10.92397788
Sarawak,2018,13.1,11.02482358
Sarawak,2019,13.1,10.49002138
Sarawak,2020,14.4,10.59991034
Sarawak,2021,12.7,12.09685269
Sarawak,2022,12.5,13.37740044
Selangor,2017,16.3,11.58227154
Selangor,2018,15.8,11.38702703
Selangor,2019,15.2,11.25174836
Selangor,2020,13.4,9.091273018
Selangor,2021,12.8,11.55416483
Selangor,2022,11.9,11.5478774
Terengganu,2017,23.1,18.50248344
Terengganu,2018,23,17.71554181
Terengganu,2019,21.8,16.59140217
Terengganu,2020,23.6,18.21211067
Terengganu,2021,22.5,19.89237209
Terengganu,2022,21.3,17.63441766
