year,state,age,total_marriages,marriage_rate,actual_population,marriage_rate_per_1000_population
2017,Johor,< 20,1330,2.28,1209000,1.100082713
2017,Johor,all,54934,53.41,3697000,14.85907493
2017,Johor,20-24,12947,93.69,353800,36.59412097
2017,Johor,25-29,22745,261.51,342800,66.35064177
2017,Johor,30-34,9268,198.99,323900,28.61376968
2017,Johor,35-39,3854,136.11,276400,13.94356006
2017,Johor,40-44,1934,157.39,233800,8.272027374
2017,Johor,45-49,1095,104.53,215000,5.093023256
2017,Johor,50-54,723,52.64,194100,3.72488408
2017,Johor,55-59,449,40.37,167900,2.67421084
2017,Johor,60-64,269,24.14,132000,2.037878788
2017,Johor,65+,320,9.87,248300,1.288763592
2017,Kedah,< 20,718,1.98,749700,0.95771642
2018,Johor,all,53959,51.9,3749400,14.39136929
2017,Kedah,20-24,7076,83.56,222100,31.85952274
2018,Johor,< 20,1230,2.1,1212000,1.014851485
2017,Kedah,25-29,11161,284.42,187400,59.55709712
2018,Johor,20-24,12212,86.6,360900,33.83762815
2017,Kedah,30-34,3926,245.31,152800,25.69371728
2018,Johor,25-29,22494,257.1,344800,65.23781903
2017,Kedah,35-39,1391,154.2,131100,10.61022121
2018,Johor,30-34,9150,196.6,323400,28.29313544
2017,Kedah,40-44,691,105.16,122600,5.636215334
2018,Johor,35-39,3881,131.8,288300,13.46167187
2017,Kedah,45-49,434,80.5,118200,3.671742809
2018,Johor,40-44,2016,161.9,235900,8.545994065
2017,Kedah,50-54,277,49.92,113900,2.431957858
2018,Johor,45-49,1206,112.3,217900,5.534648922
2017,Kedah,55-59,207,41.66,102900,2.011661808
2018,Johor,50-54,780,55.5,196600,3.967446592
2017,Kedah,60-64,138,29.15,84400,1.63507109
2018,Johor,55-59,484,41.3,171900,2.81559046
2017,Kedah,65+,170,10.96,158700,1.071203529
2018,Johor,60-64,232,20.7,137900,1.682378535
2017,Kedah,all,26189,43.91,2143900,12.21558841
2018,Johor,65+,274,8.1,259800,1.054657429
2017,Kelantan,< 20,1325,3.7,748100,1.771153589
2019,Johor,all,53446,51.5,3761200,14.20982665
2017,Kelantan,20-24,9053,126.18,205700,44.01069519
2019,Johor,< 20,1164,2,1207600,0.96389533
2017,Kelantan,25-29,13978,430.67,156800,89.14540816
2019,Johor,20-24,11954,84.5,361300,33.08607805
2017,Kelantan,30-34,4073,363.07,112300,36.26892253
2019,Johor,25-29,22592,261,338800,66.6824085
2017,Kelantan,35-39,1513,230.25,96300,15.7113188
2019,Johor,30-34,8788,192.1,318100,27.62653254
2017,Kelantan,40-44,796,179.28,86500,9.202312139
2019,Johor,35-39,3940,131.4,294200,13.39225017
2017,Kelantan,45-49,485,137.45,86700,5.594002307
2019,Johor,40-44,1949,155.9,238200,8.182199832
2017,Kelantan,50-54,339,97.72,85600,3.960280374
2019,Johor,45-49,1151,106.8,218400,5.27014652
2017,Kelantan,55-59,265,75.75,77300,3.428201811
2019,Johor,50-54,768,53.8,197500,3.888607595
2017,Kelantan,60-64,187,57.98,59800,3.127090301
2019,Johor,55-59,511,43.1,174300,2.931726908
2017,Kelantan,65+,260,24.03,113800,2.284710018
2019,Johor,60-64,305,25.6,142500,2.140350877
2017,Kelantan,all,32274,58.81,1829000,17.64570804
2019,Johor,65+,324,9,270300,1.198668147
2017,Melaka,< 20,252,1.79,289100,0.871670702
2020,Johor,all,45782,44.2,4009700,11.41781181
2017,Melaka,20-24,3193,82.36,101100,31.58259149
2020,Johor,< 20,1005,1.8,1304500,0.770410119
2017,Melaka,25-29,5855,273.26,95100,61.56677182
2020,Johor,20-24,10900,76.7,388900,28.02777064
2017,Melaka,30-34,2267,262.1,73700,30.75983718
2020,Johor,25-29,19634,229.1,362600,54.14782129
2017,Melaka,35-39,851,181.01,58100,14.64716007
2020,Johor,30-34,7055,156.3,338100,20.86660751
2017,Melaka,40-44,423,142.03,48100,8.794178794
2020,Johor,35-39,3049,100.7,318100,9.585036152
2017,Melaka,45-49,240,88.58,49300,4.868154158
2020,Johor,40-44,1513,118.4,260100,5.816993464
2017,Melaka,50-54,174,62.77,49200,3.536585366
2020,Johor,45-49,968,89,234300,4.131455399
2017,Melaka,55-59,118,49.08,43600,2.706422018
2020,Johor,50-54,667,45.4,212100,3.144743046
2017,Melaka,60-64,72,28.12,34700,2.074927954
2020,Johor,55-59,451,36.1,189100,2.384981491
2017,Melaka,65+,66,8.82,71100,0.928270042
2020,Johor,60-64,271,20.9,157200,1.723918575
2017,Melaka,all,13511,54.51,913100,14.79684591
2020,Johor,65+,269,7.2,244600,1.099754702
2017,Negeri Sembilan,< 20,448,2.52,366400,1.222707424
2021,Johor,all,49320,47.1,4020000,12.26865672
2017,Negeri Sembilan,20-24,3805,94.08,117200,32.46587031
2021,Johor,< 20,906,1.5,1285200,0.704948646
2017,Negeri Sembilan,25-29,7534,302.65,108500,69.43778802
2021,Johor,20-24,11877,82.6,391300,30.35267059
2017,Negeri Sembilan,30-34,3141,295,89100,35.25252525
2021,Johor,25-29,21939,253.7,361100,60.75602326
2017,Negeri Sembilan,35-39,1272,222.55,70700,17.99151344
2021,Johor,30-34,7608,167.2,335400,22.68336315
